Wednesday,"FSC
TimeTable for Fall-2023",,,BS CS (2023),,,BS DS (2023),,,BS AI (2023),,,BS CY (2023),,,BS SE (2023),,,"BS Electives (19 Batch, CS/AI/DS/CY)",,,MS (CS),
,,,,BS CS (2022),,,BS DS (2022),,,BS AI (2022),,,BS CY (2022),,,BS SE (2022),,,Repeat Courses,,,MS (DS),
,,,,BS CS (2021),,,BS DS (2021),,,BS AI (2021),,,BS CY (2021),,,BS SE (2021),,,MS Electives (All Prgrms),,,MS (SE),
,,,,BS CS (2020),,,BS DS (2020),,,BS AI (2020),,,BS CY (2020),,,BS SE (2020),,,MS (AI),,,MS (CNS),
Room,08:30-09:50,,,10:00-11:20,,,11:30-12:50,,,01:00-02:20,,,02:30-03:50,,,03:55-05:15,,,05:20-06:40 ,,,06:45-08:05,
C-301,SE,,,PF (CS-B),,,Calculus (CS-B),,,Calculus (CS-A),,,"OOP (CS-A, 22)",,,"OOP (CS-B, 22)",,,Stat & Math for DS,,,DS Tools & Tech,
C-302,HCI (SE-C),,,AP (CS-A),,,Algo (SE-P),,,OS (SE-P),,,OS (AI-J),,,Info Sec (CS-F) ReSch,,,Adv OS,,,Adv Algo,
C-303,PF (CS-C),,,Calculus (CS-C),,,OS (SE-Q),,,Algo (SE-Q),,,"OOP (CY-A, 22)",,,"OOP (CY-B, 22)",,,Applied Info Sec,,,Applied Info Sec,
C-304,Calculus (CS-D),,,PF (CS-D),,,AP (CS-D),,,AP (CS-C),,,S/w Re-Engg (SE-R),,,,,,Adv Qual Assur,,,Adv S/w Arch,
C-305,AP (AI-A),,,PF (AI-A),,,Func Eng (AI-A) 11:30-01:15,,,,Func Eng (AI-B) 02:00-03:45,,,,,,,,Deep Learning,,,Adv AI,
C-307,Calculus (AI-B),,,AP (AI-B),,,PF (AI-B),,,AP (CS-B),,,Fund of Mgt (SE-A),,,Digital Mktg (CY-T),,,,,,,
C-308,PF (CY-A),,,Calculus (CY-A),,,Ideology of Pak (CY-A) 11:30-01:15,,,,Ideology of Pak (CY-B) 02:00-03:45,,,,,,,,,,,,
C-309,Data St (CS-E),,,COAL (CS-E),,,Discrete (CS-E),,,,,,,,,,,,,,,,
C-310,Ideology of Pak (DS-B) 08:30-10:15,,,,,,TBW (CS-B/Z),,,Ideology of Pak (DS-A) 01:00-02:45,,,,,,,,,,,,,
C-311,Func Eng (SE-B) 08:30-10:15,,,,,,PF (CS-A),,,Func Eng (SE-A) 01:00-02:45,,,,LA (CS-A) 03:00-04:20,,,,,,,,,
C-401,Discrete (CS-B),,,Discrete (CS-A),,,COAL (CS-A),,,LA (CS-K),,,PPIT (CS-A),,,PPIT (CS-B),,,,,,,
C-402,COAL (CS-C),,,LA (CS-C),,,LA (CS-B),,,COAL (CS-B),,,PPIT (CS-C),,,Info Sec (CS-C),,,,,,,
C-403,COAL (CS-D),,,LA (CS-D),,,Data St (CS-D),,,Data St (CS-C),,,Info Sec (CS-B),,,Info Sec (CS-A),,,,,,,
C-404,AP (CY-B),,,PF (CY-B),,,Calculus (CY-B),,,,,,AP (CY-A),,,,,,,,,,
C-405,Algo (DS-M),,,Data St (CS-G),,,Data St (CS-H),,,Automata (CS-D),,,,,,,,,,,,,
C-406,Ethical Hacking,,,Data St (CS-F),,,LA (CS-J),,,Prob & Stats (AI-A),,,Prob & Stats (AI-C),,,Prob & Stats (AI-B),,,,,,,
C-407,Algo (CY-T),,,DLD (AI-C),,,Data St (AI-C),,,Prog for AI (AI-C),,,,,,"DB (CS-D, 21)",,,,,,,
C-408,DLD (AI-D),,,Prob & Stats (AI-D),,,Prog for AI (AI-D),,,Data St (AI-D),,,PPIT (DS-N),,,Deep Learn (DS-N),,,,,,,
C-409,Data St (DS-C),,,Intro to DS (DS-C),,,Prob & Stats (DS-C),,,Fund of SE (CY-D),,,"Diff Eq (D, 22)",,,"Diff Eq (E, 22)",,,,,,,
C-410,Intro to DS (DS-D),,,Prob & Stats (DS-D),,,Data St (DS-D) ,,,Fund of SE (DS-D),,,,,,,,,,,,,
B-130,DLD (CY-A),,,Net & Cy Sec-I (CY-A),,,DLD (CY-D),,,DLD (CY-B),,,Islamic (A),,,,,,,,,,
B-227,Net & Cy Sec-I (CY-B),,,Data St (CY-B),,,Fund of SE (CY-C),,,Data St (CY-A),,,DLD (CY-C),,,,,,,,,,
B-229,Data St (SE-A),,,Data St (SE-B),,,Fund of SE (DS-B),,,Fund of SE (DS-A),,,Mktg Mgt (CS-C),,,Mktg Mgt (SE-C),,,,,,,
B-230,S/w Req Engg (SE-B),,,S/w Req Engg (SE-C),,,Data St (SE-C),,,HCI (SE-B),,,,,,,,,,,,,
A-108,,,,HCI (SE-D),,,HCI (SE-A),,,S/w Req Engg (SE-A),,,,,,,,,,,,,
A-211,S/w Req Engg (SE-D),,,LA (SE-G),,,LA (SE-F),,,LA (SE-E),,,FSM,,,FSM,,,,,,,
A-301,Comp Net (CS-E),,,SDA (CS-E),,,Automata (CS-C),,,Data St (SE-D),,,,,,Pak Studies (A),,,,,,,
A-302,SDA (CS-C),,,Comp Net (CS-C/D),,,Comp Net (CS-A/Y),,,SDA (CS-A),,,"OS (CS-A, 21)",,,"OS (CS-B, 21)",,,,,,,
A-303,Automata (CS-A),,,Automata (CS-Y),,,SDA (CS-D),,,Automata (CS-E),,,"DB (CS-C, 21)",,,,,,,,,,
A-305,TBW (CS-G),,,Algo (DS-N),,,Stat & Modeling (CS-F/G),,,SDA (CS-Y),,,,,,,,,,,,,
A-310,Stat & Modeling (CS-H),,,AI (CS-A),,,Robo Tech (CS-Robo),,,Stat & Modeling (CS-Z),,,"OOP (AI/DS-A, 22)",,,"OOP (AI/DS-B, 22)",,,,,,,
A-311,Entre (AI-JK),,,Entre (AI-JK),,,MLOPs (AI-JK),,,Blockchain & Crypto (AI-JK),,,Comp Vision (AI-J),,,Comp Vision (AI-K),,,,,,,
A-314,OS (AI-K),,,Knowl Rep (AI-K),,,Algo (AI-K),,,ML (AI-K),,,,,,,,,,,,,
A-315,Algo (AI-J),,,ML (AI-J),,,Knowl Rep (AI-J),,,,,,,,,,,,,,,,
A-316,TBW (DS-N),,,Stat & Modeling (CS-B),,,DIP,,,Cloud Comp (SE-A),,,,,,,,,,,,,
C-110,SMD (A),,,TBW (DS-M),,,SMD (B),,,,,,Sir Hassan Raza,,,Sir Hassan Raza,,,,,,,
Seminar A,,,,Web Prog,,,AI (CS-B),,,,,,,,,,,,,,,,
,,,,Deep Learning (A-202),,,,,,PPIT Seminar (Auditorium),,,,,,,,,,,,,
,,,,Cloud Comp (SE-B) A-203,,,,,,,,,,,,,,,,,,,
,,,,TBW (CS-F/H) A-201,,,,,,,,,,,,,,,,,,,
